Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2022-03-01T06:13:00Z,BTCUSDT,43093.55,-0.02273864,Market,Filled,-979.8887198, 
2022-03-01T06:13:00Z,BTCUSDT,0,0.02273864,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-01T06:24:00.0000000Z 
2022-03-01T06:13:00Z,BTCUSDT,43354.08,0.02273864,Stop Limit,Filled,985.8128177,Stop Market 
2022-03-01T09:26:00Z,BTCUSDT,43394.65,-0.02242735,Market,Filled,-973.2270037, 
2022-03-01T09:26:00Z,BTCUSDT,0,0.02242735,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-01T11:02:00.0000000Z 
2022-03-01T09:26:00Z,BTCUSDT,43698.41,0.02242735,Stop Limit,Filled,980.0395355,Stop Market 
2022-03-01T14:43:00Z,BTCUSDT,44072.3,-0.02191228,Market,Filled,-965.7245778, 
2022-03-01T14:43:00Z,BTCUSDT,43279,0.02191228,Limit,Filled,948.3415661,Top Profit Limit 
2022-03-01T14:43:00Z,BTCUSDT,0,0.02191228,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-01T16:51:00.0000000Z 
2022-03-01T18:39:00Z,BTCUSDT,43767.12,0.02245176,Market,Filled,982.6488741, 
2022-03-01T18:39:00Z,BTCUSDT,44554.93,-0.02244277,Limit,Filled,-999.9360464,Top Profit Limit 
2022-03-01T18:39:00Z,BTCUSDT,0,-0.02244277,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T00:05:00.0000000Z 
2022-03-02T01:23:00Z,BTCUSDT,43918.75,-0.02274543,Market,Filled,-998.9508538, 
2022-03-02T01:23:00Z,BTCUSDT,0,0.02274543,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T02:47:00.0000000Z 
2022-03-02T01:23:00Z,BTCUSDT,44198.61,0.02274543,Stop Limit,Filled,1005.31639,Stop Market 
2022-03-02T03:01:00Z,BTCUSDT,44239.33,0.02243087,Market,Filled,992.3266601, 
2022-03-02T03:01:00Z,BTCUSDT,0,-0.02242189,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T06:50:00.0000000Z 
2022-03-02T03:01:00Z,BTCUSDT,43971.59,-0.02242189,Stop Limit,Filled,-985.9261541,Stop Market 
2022-03-02T08:25:00Z,BTCUSDT,44152.78,0.02232478,Market,Filled,985.7010999, 
2022-03-02T08:25:00Z,BTCUSDT,0,-0.02231585,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T08:52:00.0000000Z 
2022-03-02T08:25:00Z,BTCUSDT,43876.57,-0.02231585,Stop Limit,Filled,-979.1429546,Stop Market 
2022-03-02T08:59:00Z,BTCUSDT,43828.45,-0.02232485,Market,Filled,-978.463572, 
2022-03-02T08:59:00Z,BTCUSDT,0,0.02232485,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T09:31:00.0000000Z 
2022-03-02T08:59:00Z,BTCUSDT,44135.25,0.02232485,Stop Limit,Filled,985.312836,Stop Market 
2022-03-02T10:11:00Z,BTCUSDT,44085.25,0.02203341,Market,Filled,971.3483882, 
2022-03-02T10:11:00Z,BTCUSDT,0,-0.02202459,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T12:31:00.0000000Z 
2022-03-02T10:11:00Z,BTCUSDT,43815.67,-0.02202459,Stop Limit,Filled,-965.0221673,Stop Market 
2022-03-02T14:43:00Z,BTCUSDT,44451.87,0.02170702,Market,Filled,964.9176311, 
2022-03-02T14:43:00Z,BTCUSDT,45252,-0.02169833,Limit,Filled,-981.8928292,Top Profit Limit 
2022-03-02T14:43:00Z,BTCUSDT,0,-0.02169833,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T15:01:00.0000000Z 
2022-03-02T17:31:00Z,BTCUSDT,44051.73,-0.02226589,Market,Filled,-980.8509745, 
2022-03-02T17:31:00Z,BTCUSDT,0,0.02226589,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-02T22:06:00.0000000Z 
2022-03-02T17:31:00Z,BTCUSDT,44360.09,0.02226589,Stop Limit,Filled,987.7168843,Stop Market 
2022-03-02T23:51:00Z,BTCUSDT,43853.06,-0.02219558,Market,Filled,-973.3441015, 
2022-03-02T23:51:00Z,BTCUSDT,43063.7,0.02219558,Limit,Filled,955.8237984,Top Profit Limit 
2022-03-02T23:51:00Z,BTCUSDT,0,0.02219558,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-03T06:14:00.0000000Z 
2022-03-03T07:02:00Z,BTCUSDT,43466.69,0.02278486,Market,Filled,990.3824463, 
2022-03-03T07:02:00Z,BTCUSDT,0,-0.02277574,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-03T09:31:00.0000000Z 
2022-03-03T07:02:00Z,BTCUSDT,43162.42,-0.02277574,Stop Limit,Filled,-983.0560557,Stop Market 
2022-03-03T11:00:00Z,BTCUSDT,43402.33,0.02264735,Market,Filled,982.9477583, 
2022-03-03T11:00:00Z,BTCUSDT,0,-0.02263829,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-03T15:21:00.0000000Z 
2022-03-03T11:00:00Z,BTCUSDT,43098.51,-0.02263829,Stop Limit,Filled,-975.6765679,Stop Market 
2022-03-03T22:06:00Z,BTCUSDT,42478.76,0.02296355,Market,Filled,975.4631292, 
2022-03-03T22:06:00Z,BTCUSDT,0,-0.02295436,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-04T00:16:00.0000000Z 
2022-03-03T22:06:00Z,BTCUSDT,42220.63,-0.02295436,Stop Limit,Filled,-969.1475404,Stop Market 
2022-03-04T00:17:00Z,BTCUSDT,42179.57,-0.02295906,Market,Filled,-968.4032784, 
2022-03-04T00:17:00Z,BTCUSDT,41420.34,0.02295906,Limit,Filled,950.9720713,Top Profit Limit 
2022-03-04T00:17:00Z,BTCUSDT,0,0.02295906,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-04T01:02:00.0000000Z 
2022-03-04T06:05:00Z,BTCUSDT,41399.86,0.02380018,Market,Filled,985.32412, 
2022-03-04T06:05:00Z,BTCUSDT,0,-0.02379065,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-04T08:38:00.0000000Z 
2022-03-04T06:05:00Z,BTCUSDT,41110.06,-0.02379065,Stop Limit,Filled,-978.0350489,Stop Market 
2022-03-04T08:53:00Z,BTCUSDT,41471.93,0.02357992,Market,Filled,977.9047916, 
2022-03-04T08:53:00Z,BTCUSDT,0,-0.02357048,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-04T14:11:00.0000000Z 
2022-03-04T08:53:00Z,BTCUSDT,41181.63,-0.02357048,Stop Limit,Filled,-970.6707863,Stop Market 
2022-03-04T17:28:00Z,BTCUSDT,40858.34,0.02375117,Market,Filled,970.4333793, 
2022-03-04T17:28:00Z,BTCUSDT,0,-0.02374166,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-04T18:50:00.0000000Z 
2022-03-04T17:28:00Z,BTCUSDT,40600,-0.02374166,Stop Limit,Filled,-963.911396,Stop Market 
2022-03-05T02:09:00Z,BTCUSDT,39037.28,0.02469068,Market,Filled,963.8569886, 
2022-03-05T02:09:00Z,BTCUSDT,0,-0.0246808,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-05T04:35:00.0000000Z 
2022-03-05T02:09:00Z,BTCUSDT,38781.91,-0.0246808,Stop Limit,Filled,-957.1685643,Stop Market 
